Romaji,Kanji,,
Sumitani,角谷,,
Kanbe,神戶,,
Shintani,新谷,,
Sogo,十河,,
Tsunoda,角田,,
Sannomiya,三宮,,
Saegusa,三枝,,
Kozuki,上月,,
Niu,丹生,,
Futaki,二木,,
Nobuta,信田,,
Izumi,出水,,
Tsuburaya,圓谷,,
Azumi,安積,,
Samukawa,寒川,,
Kotani,小谷,,
Onoue,尾上,,
Shinjo,新城,,
Hayata,早田,,
Iketani,池谷,,
Aburaya,油谷,,
Kumagai,熊谷,,
Yoneya,米谷,,
Habara,羽原,,
Mogi,茂木,,
Ibata,茨田,,
Kakui,角井,,
Nukata,額田,,
Tate,館,,
Shioya,鹽谷,,
Shichiri,七里,,
Mantani,万谷,,
Sannohe,三戶,,
Sanpei,三瓶,,
Mita,三田,,
Mitsuya,三矢,,
Mino,三野,,
Kamishiro,上代,,
Uwabo,上保,,
Ueshima,上島,,
Ueishi,上石,,
Uetani,上谷,,
Uesaka,上阪,,
Nakashiro,中城,,
Chuma,中馬,,
Tan,丹,,
Kuge,久下,,
Kuno,久野,,
Futagawa,二川,,
Goto,五島,,
Inoue,井上,,
Shida,信太,,
Ryokado,両角,,
Yashima,八島,,
Idei,出井,,
Idehara,出原,,
Demura,出村,,
Ideta,出田,,
Gyobu,刑部,,
Katsuta,勝田,,
Minamikawa,南川,,
Minamitani,南谷,,
Furuya,古家,,
Furushima,古島,,
Furuya,古谷,,
Yoshikawa,吉川,,
Kogo,向後,,
Kida,喜田,,
Shinomiya,四宮,,
Tsuchida,土田,,
Sotomura,外村,,
Okita,大来,,
Ogami,大神,,
Ofuji,大藤,,
Osumi,大角,,
Omichi,大道,,
Daimon,大門,,
Amatani,天谷,,
Ataka,安宅,,
Anraku,安樂,,
Obara,小原,,
Obi,小尾,,
Kojima,小島,,
Kobinata,小日向,,
Ogo,小河,,
Koji,小路,,
Kosaka,小阪,,
Yamagami,山上,,
Yamaga,山家,,
Yamaya,山谷,,
Sanmon,山門,,
Kishigami,岸上,,
Shimatani,島谷,,
Kawauchi,川內,,
Taira,平,,
Wagatsuma,我妻,,
Sashida,指田,,
Arata,新,,
Niina,新名,,
Shinko,新子,,
Shingu,新宮,,
Araya,新家,,
Araya,新屋,,
Shinyama,新山,,
Araki,新木,,
Shinden,新田,,
Shinya,新納,,
Shinmi,新美,,
Arano,新野,,
Shinzeki,新關,,
Kusaka,日下,,
Hinode,日出,,
Hinata,日向,,
Akita,明田,,
Haruhara,春原,,
Sueta,末田,,
Mototani,本谷,,
Karatani,柄谷,,
Yuzuki,柚木,,
Yanagimoto,柳本,,
Kakigi,柿木,,
Aibara,粟飯原,,
Kiritani,桐谷,,
Takekawa,武川,,
Mizukuchi,水口,,
Unno,海野,,
Asami,淺海,,
Tamaki,玉城,,
Namai,生井,,
Ubukata,生方,,
Toyama,當山,,
Shiraki,白木,,
Shiramizu,白水,,
Shirakami,白神,,
Maki,真木,,
Yahagi,矢作,,
Ishigami,石上,,
Ishitani,石谷,,
Isoya,磯谷,,
Kanzaki,神崎,,
Kamisawa,神澤,,
Kamifuji,神藤,,
Kamibe,神部,,
Kanno,神野,,
Inou,稻生,,
Yanai,箭內,,
Yonehara,米原,,
Yoshikazu,米島,,
Komeda,米田,,
Naya,納谷,,
Hosoki,細木,,
Hosoda,細田,,
Ibaraki,茨木,,
Suga,菅,,
Sugahara,菅原,,
Suda,菅田,,
Sugano,菅野,,
Fujitani,藤谷,,
Nishiumi,西海,,
Yuki,行木,,
Yukue,行方,,
Kinugawa,衣川,,
Kaku,角,,
Kadokura,角倉,,
Sunami,角南,,
Kadoya,角屋,,
Kadono,角野,,
Taniuchi,谷內,,
Tanida,谷田,,
Tanifuji,谷藤,,
Toshima,豐島,,
Sakai,逆井,,
Noro,野路,,
Kanaya,金谷,,
Hariya,針谷,,
Naga,長,,
Nagata,長田,,
Hase,長谷,,
Kadota,門田,,
Sakagami,阪上,,
Amemiya,雨宮,,
Amamori,雨森,,
