Kanji,Romaji
太郎,Tarou
花子,Hanako
一郎,Ichirou
美咲,Misaki
翔,Shou
遥南,Haruna
結衣,Yui
真希,Maki
翔太,Shouta
悠真,Yuma
直哉,Naoya
優花,Yuka
心笑,Kokoro
侑里,Uri
瑠璃子,Ruriko
岳登,Gakuto
優珠,Umi
